model,C,mean_validation_accuracy,std_validation_accuracy,mean_train_accuracy,rank,fold_1,fold_2,fold_3,fold_4,fold_5
Raw OHLCV,0.001000,0.534946,0.040555,0.528011,1,0.475806,0.521505,0.583333,0.516129,0.577957
Raw OHLCV,0.010000,0.516667,0.030669,0.526792,2,0.475806,0.518817,0.502688,0.516129,0.569892
Raw OHLCV,0.100000,0.513978,0.028722,0.528584,4,0.470430,0.521505,0.502688,0.516129,0.559140
Raw OHLCV,1.000000,0.516667,0.032632,0.528065,2,0.467742,0.521505,0.508065,0.516129,0.569892
Raw OHLCV,10.000000,0.512903,0.024485,0.528369,5,0.470430,0.510753,0.529570,0.510753,0.543011
Raw OHLCV,100.000000,0.511290,0.021465,0.529767,6,0.473118,0.529570,0.521505,0.502688,0.529570
Engineered Features,0.001000,0.532258,0.036265,0.529919,1,0.478495,0.521505,0.567204,0.516129,0.577957
Engineered Features,0.010000,0.505376,0.030791,0.534991,2,0.489247,0.478495,0.489247,0.505376,0.564516
Engineered Features,0.100000,0.484946,0.026317,0.536147,6,0.491935,0.478495,0.475806,0.448925,0.529570
Engineered Features,1.000000,0.489785,0.025750,0.537321,4,0.494624,0.475806,0.497312,0.451613,0.529570
Engineered Features,10.000000,0.488710,0.022898,0.538082,5,0.494624,0.481183,0.516129,0.448925,0.502688
Engineered Features,100.000000,0.496774,0.031275,0.540932,3,0.486559,0.524194,0.540323,0.454301,0.478495
